Date,TimeFromStart,TaskNumber,PostID,QuestionType,ClickTarget
1719235366739,51.41106,1,post3,Is_Fake,not_fake
1719235374286,58.95758,1,post3,Level_Of_Confident,5
1719235385404,70.07706,1,post3,Level_Of_Confident,4
1719235387519,72.19201,1,post3,Level_Of_Confident,go_to_have_seen
1719235646774,331.4471,1,post3,Have_seen,yes
1719235656293,340.9658,2,post14,Is_Fake,fake
1719235662969,347.6415,2,post14,Level_Of_Confident,3
1719235665362,350.0355,2,post14,Level_Of_Confident,go_to_have_seen
1719235689610,374.2827,2,post14,Have_seen,no
1719235710670,395.342,3,post29,Is_Fake,not_fake
1719235712385,397.0573,3,post29,Level_Of_Confident,4
1719235713211,397.8846,3,post29,Level_Of_Confident,go_to_have_seen
1719235716140,400.8132,3,post29,Have_seen,yes
1719235731110,415.7816,4,post1,Is_Fake,fake
1719235732794,417.4667,4,post1,Level_Of_Confident,3
1719235733744,418.4165,4,post1,Level_Of_Confident,go_to_have_seen
1719235736699,421.3734,4,post1,Have_seen,no
1719235760490,445.1636,5,post4,Is_Fake,not_fake
1719235761368,446.0405,5,post4,Level_Of_Confident,4
1719235763376,448.05,5,post4,Level_Of_Confident,go_to_have_seen
1719235766881,451.5545,5,post4,Have_seen,yes
1719235817688,502.3619,6,post12,Is_Fake,fake
1719235819562,504.2349,6,post12,Level_Of_Confident,3
1719235821355,506.028,6,post12,Level_Of_Confident,go_to_have_seen
1719235823361,508.0346,6,post12,Have_seen,no
1719235838122,522.7953,7,post5,Is_Fake,not_fake
1719235838968,523.6406,7,post5,Level_Of_Confident,4
1719235839367,524.0397,7,post5,Level_Of_Confident,go_to_have_seen
1719235839910,524.5831,7,post5,Have_seen,yes
1719235854447,539.1202,8,post11,Is_Fake,fake
1719235858430,543.1025,8,post11,Level_Of_Confident,3
1719235859512,544.1859,8,post11,Level_Of_Confident,go_to_have_seen
1719235860598,545.2708,8,post11,Have_seen,no
1719235876452,561.1257,9,post8,Is_Fake,not_fake
1719235877141,561.8143,9,post8,Level_Of_Confident,4
1719235877668,562.3417,9,post8,Level_Of_Confident,go_to_have_seen
1719235878678,563.351,9,post8,Have_seen,yes
1719235889175,573.8478,10,post7,Is_Fake,fake
1719235890594,575.2666,10,post7,Level_Of_Confident,3
1719235890974,575.6464,10,post7,Level_Of_Confident,go_to_have_seen
1719235892515,577.1875,10,post7,Have_seen,no
1719235902691,587.3645,11,post2,Is_Fake,not_fake
1719235903593,588.2658,11,post2,Level_Of_Confident,4
1719235903929,588.6019,11,post2,Level_Of_Confident,go_to_have_seen
1719235906035,590.7081,11,post2,Have_seen,yes
1719235916102,600.7753,12,post10,Is_Fake,fake
1719235916762,601.4351,12,post10,Level_Of_Confident,3
1719235917129,601.8018,12,post10,Level_Of_Confident,go_to_have_seen
1719235918419,603.0923,12,post10,Have_seen,no
1719235932705,617.377,13,post9,Is_Fake,not_fake
1719235957193,641.8642,13,post9,Level_Of_Confident,4
1719235958367,643.0401,13,post9,Level_Of_Confident,go_to_have_seen
1719235959658,644.3313,13,post9,Have_seen,no
1719235968468,653.1414,14,post13,Is_Fake,fake
1719235969295,653.9676,14,post13,Level_Of_Confident,3
1719235970031,654.7037,14,post13,Level_Of_Confident,go_to_have_seen
1719235970878,655.5518,14,post13,Have_seen,no
1719235979351,664.0243,15,post6,Is_Fake,not_fake
1719235982520,667.1923,15,post6,Level_Of_Confident,4
1719235982917,667.59,15,post6,Level_Of_Confident,go_to_have_seen
1719235983553,668.2249,15,post6,Have_seen,yes
