Date,TimeFromStart,TaskNumber,PostID,QuestionType,ClickTarget
1760470048531,5.956317,1,post10,Start,readnews
1760470054761,12.21135,1,post10,Start,question
1760470055809,13.25957,1,post10,Is_Fake,not_fake
1760470056396,13.84666,1,post10,Level_Of_Confident,4
1760470056866,14.31675,1,post10,Level_Of_Confident,go_to_have_seen
1760470057665,15.11548,1,post10,Have_seen,yes
1760470063202,20.63127,2,post2,Start,readnews
1760470067563,25.01329,2,post2,Start,question
1760470068641,26.09158,2,post2,Is_Fake,not_fake
1760470069641,27.09106,2,post2,Level_Of_Confident,4
1760470070072,27.52245,2,post2,Level_Of_Confident,go_to_have_seen
1760470072426,29.87573,2,post2,Have_seen,no
1760470075196,32.6231,3,post5,Start,readnews
1760533467718,20.72896,1,post14,Start,readnews
1760533617993,171.0307,1,post14,Start,no
1760533642856,195.868,2,post11,Start,readnews
1760533644888,197.9265,2,post11,Start,question
1760533646156,199.1947,2,post11,Is_Fake,fake
1760533647496,200.5329,2,post11,Level_Of_Confident,4
1760533649263,202.3008,2,post11,Level_Of_Confident,go_to_have_seen
1760533650470,203.5084,2,post11,Have_seen,yes
1760533653967,206.9836,3,post7,Start,readnews
1760533658911,211.9499,3,post7,Start,question
1760533659579,212.6184,3,post7,Is_Fake,not_fake
1760533660366,213.4044,3,post7,Level_Of_Confident,4
1760533660777,213.8155,3,post7,Level_Of_Confident,go_to_have_seen
1760533662026,215.0642,3,post7,Have_seen,no
1760533664956,217.9697,4,post3,Start,readnews
1760533667039,220.078,4,post3,Start,question
1760533667761,220.7991,4,post3,Is_Fake,not_fake
1760533668516,221.5548,4,post3,Level_Of_Confident,3
1760533668881,221.9199,4,post3,Level_Of_Confident,go_to_have_seen
1760533669495,222.5333,4,post3,Have_seen,yes
1760533673187,226.2005,5,post12,Start,readnews
1760533676184,229.222,5,post12,Start,question
1760533676885,229.9236,5,post12,Is_Fake,fake
1760533677788,230.8256,5,post12,Level_Of_Confident,3
1760533680939,233.977,5,post12,Level_Of_Confident,go_to_have_seen
1760533683077,236.1156,5,post12,Have_seen,yes
1760533686338,239.3534,6,post4,Start,readnews
1760533692984,246.0224,6,post4,Start,question
1760533693614,246.6532,6,post4,Is_Fake,fake
1760533694436,247.4748,6,post4,Level_Of_Confident,4
1760533695327,248.3648,6,post4,Level_Of_Confident,go_to_have_seen
1760533697303,250.3415,6,post4,Have_seen,yes
1760533699642,252.6575,7,post10,Start,readnews
1760533702853,255.8911,7,post10,Start,question
1760533703547,256.5861,7,post10,Is_Fake,fake
1760533704322,257.3606,7,post10,Level_Of_Confident,4
1760533704942,257.9801,7,post10,Level_Of_Confident,go_to_have_seen
1760533705651,258.6896,7,post10,Have_seen,no
1760533707637,260.654,8,post9,Start,readnews
1760533710226,263.2647,8,post9,Start,question
1760533710938,263.9763,8,post9,Is_Fake,fake
1760533712088,265.1261,8,post9,Level_Of_Confident,4
1760533712479,265.5179,8,post9,Level_Of_Confident,go_to_have_seen
1760533713173,266.2121,8,post9,Have_seen,no
1760533714838,267.8539,9,post1,Start,readnews
1760533717737,270.7758,9,post1,Start,question
1760533718394,271.4328,9,post1,Is_Fake,not_fake
1760533721336,274.3745,9,post1,Level_Of_Confident,4
1760533722856,275.8953,9,post1,Level_Of_Confident,go_to_have_seen
1760533723422,276.4602,9,post1,Have_seen,no
1760533725485,278.5003,10,post5,Start,readnews
1760533727095,280.1339,10,post5,Start,question
1760533727652,280.6911,10,post5,Is_Fake,not_fake
1760533728314,281.3526,10,post5,Level_Of_Confident,4
1760533728643,281.6823,10,post5,Level_Of_Confident,go_to_have_seen
1760533729248,282.2862,10,post5,Have_seen,no
1760533730981,283.9924,11,post8,Start,readnews
1760533731663,284.7017,11,post8,Start,question
1760533732224,285.2629,11,post8,Is_Fake,fake
1760533733101,286.1397,11,post8,Level_Of_Confident,3
1760533733419,286.4575,11,post8,Level_Of_Confident,go_to_have_seen
1760533734470,287.5081,11,post8,Have_seen,yes
1760533736090,289.1063,12,post2,Start,readnews
1760533737131,290.1689,12,post2,Start,question
1760533737765,290.8033,12,post2,Is_Fake,fake
1760533738586,291.6237,12,post2,Level_Of_Confident,4
1760533738904,291.9429,12,post2,Level_Of_Confident,go_to_have_seen
1760533739409,292.447,12,post2,Have_seen,no
1760533742125,295.1426,13,post15,Start,readnews
1760533742822,295.8607,13,post15,Start,question
1760533744334,297.3719,13,post15,Is_Fake,fake
1760533745085,298.1235,13,post15,Level_Of_Confident,4
1760533745357,298.3957,13,post15,Level_Of_Confident,go_to_have_seen
1760533745930,298.9682,13,post15,Have_seen,no
1760533748153,301.17,14,post6,Start,readnews
1760533749968,303.0056,14,post6,Start,question
1760533750707,303.7453,14,post6,Is_Fake,not_fake
1760533752389,305.4269,14,post6,Level_Of_Confident,4
1760533752696,305.7347,14,post6,Level_Of_Confident,go_to_have_seen
1760533753134,306.1729,14,post6,Have_seen,no
1760533754662,307.6786,15,post13,Start,readnews
1760533755325,308.3637,15,post13,Start,question
1760533755875,308.9102,15,post13,Is_Fake,not_fake
1760533756464,309.5021,15,post13,Level_Of_Confident,4
1760533756774,309.8123,15,post13,Level_Of_Confident,go_to_have_seen
1760533759626,312.6645,15,post13,Have_seen,no
