Date,TimeFromStart,TaskNumber,PostID,QuestionType,ClickTarget
1719839259012,106.0536,1,post7,Start,readnews
1719839270348,117.4112,1,post7,Start,question
1719839277098,124.1609,1,post7,Start,not_fake
1719839277820,124.8834,1,post7,Level_Of_Confident,3
1719839278549,125.6121,1,post7,Level_Of_Confident,go_to_have_seen
1719839279903,126.9668,1,post7,Have_seen,yes
1719839282062,129.1019,2,post4,Start,readnews
1719839282880,129.9433,2,post4,Start,question
1719839284165,131.2292,2,post4,Start,not_fake
1719839284839,131.9027,2,post4,Level_Of_Confident,4
1719839285193,132.2572,2,post4,Level_Of_Confident,go_to_have_seen
1719839288208,135.2709,2,post4,Have_seen,yes
1719839291219,138.2587,3,post9,Start,readnews
1719839292124,139.1866,3,post9,Start,question
1719839295028,142.0907,3,post9,Start,not_fake
1719839295797,142.86,3,post9,Level_Of_Confident,4
1719839296132,143.196,3,post9,Level_Of_Confident,go_to_have_seen
1719839297253,144.3171,3,post9,Have_seen,yes
1719839301788,148.8285,4,post3,Start,readnews
1719839302675,149.7384,4,post3,Start,question
1719839303588,150.6512,4,post3,Start,not_fake
1719839304756,151.8196,4,post3,Level_Of_Confident,4
1719839305095,152.1584,4,post3,Level_Of_Confident,go_to_have_seen
1719839305714,152.777,4,post3,Have_seen,no
1719839308885,155.9263,5,post11,Start,readnews
1719839310255,157.3189,5,post11,Start,question
1719839311020,158.0833,5,post11,Start,not_fake
1719839311636,158.6999,5,post11,Level_Of_Confident,5
1719839312038,159.1013,5,post11,Level_Of_Confident,go_to_have_seen
1719839312788,159.8519,5,post11,Have_seen,yes
1719839319280,166.322,6,post2,Start,readnews
1719839319924,166.9876,6,post2,Start,question
1719839322878,169.9416,6,post2,Start,not_fake
1719839325156,172.2203,6,post2,Level_Of_Confident,5
1719839325558,172.6218,6,post2,Level_Of_Confident,go_to_have_seen
1719839350546,197.6096,6,post2,Have_seen,yes
1719839353104,200.1451,7,post14,Start,readnews
1719839362466,209.5295,7,post14,Start,question
1719839363425,210.489,7,post14,Start,not_fake
1719839364391,211.4552,7,post14,Level_Of_Confident,4
1719839364892,211.9557,7,post14,Level_Of_Confident,go_to_have_seen
1719839368778,215.8407,7,post14,Have_seen,yes
1719839374013,221.055,8,post6,Start,readnews
1719839384659,231.7226,8,post6,Start,question
1719839385531,232.5943,8,post6,Start,not_fake
1719839386213,233.2761,8,post6,Level_Of_Confident,4
1719839386591,233.6548,8,post6,Level_Of_Confident,go_to_have_seen
1719839387163,234.2257,8,post6,Have_seen,yes
1719839390247,237.2896,9,post12,Start,readnews
1719839401158,248.2216,9,post12,Start,question
1719839401986,249.0498,9,post12,Start,fake
1719839402835,249.8992,9,post12,Level_Of_Confident,4
1719839403384,250.4474,9,post12,Level_Of_Confident,go_to_have_seen
1719839404856,251.92,9,post12,Have_seen,no
1719839408014,255.0512,10,post1,Start,readnews
1719839412334,259.3976,10,post1,Start,question
1719839415510,262.5736,10,post1,Start,fake
1719839416825,263.8885,10,post1,Level_Of_Confident,4
1719839424298,271.3617,10,post1,Level_Of_Confident,go_to_have_seen
1719839425756,272.8178,10,post1,Have_seen,yes
1719839430751,277.791,11,post5,Start,readnews
1719839432744,279.8079,11,post5,Start,question
1719839433559,280.6227,11,post5,Start,not_fake
1719839434932,281.9956,11,post5,Level_Of_Confident,4
1719839435709,282.7721,11,post5,Level_Of_Confident,go_to_have_seen
1719839436536,283.5988,11,post5,Have_seen,no
1719839438931,285.972,12,post10,Start,readnews
1719839442044,289.1082,12,post10,Start,question
1719839442667,289.7307,12,post10,Start,fake
1719839443316,290.3796,12,post10,Level_Of_Confident,4
1719839444964,292.0277,12,post10,Level_Of_Confident,go_to_have_seen
1719839449917,296.9807,12,post10,Have_seen,no
1719839454597,301.6392,13,post13,Start,readnews
1719839457997,305.0605,13,post13,Start,question
1719839458784,305.8474,13,post13,Start,fake
1719839459662,306.724,13,post13,Level_Of_Confident,5
1719839460147,307.2106,13,post13,Level_Of_Confident,go_to_have_seen
1719839461000,308.0641,13,post13,Have_seen,no
1719839464521,311.5646,14,post8,Start,readnews
1719839467764,314.8278,14,post8,Start,question
1719839470506,317.5692,14,post8,Start,not_fake
1719839471957,319.0212,14,post8,Level_Of_Confident,4
1719839472334,319.3977,14,post8,Level_Of_Confident,go_to_have_seen
1719839474370,321.4333,14,post8,Have_seen,no
1719839480992,328.0289,15,post29,Start,readnews
1719839493211,340.2745,15,post29,Start,question
1719839493874,340.9373,15,post29,Start,fake
1719839494531,341.5942,15,post29,Level_Of_Confident,4
1719839495551,342.6149,15,post29,Level_Of_Confident,go_to_have_seen
1719839496165,343.2244,15,post29,Have_seen,yes
