Date,TimeFromStart,TaskNumber,PostID,QuestionType,ClickTarget
1760467328775,14.20021,1,post12,Start,readnews
1760468176795,8.905274,1,post14,Start,readnews
1760468185743,17.88128,1,post14,Start,question
1760468240773,8.114731,1,post9,Start,readnews
1760468253114,20.48029,1,post9,Start,question
1760468274692,42.05873,1,post9,Is_Fake,not_fake
1760468280741,48.10721,1,post9,Level_Of_Confident,4
1760468281085,48.45122,1,post9,Level_Of_Confident,go_to_have_seen
1760468284935,52.30112,1,post9,Have_seen,yes
1760468455400,7.203876,1,post5,Start,readnews
1760468883214,4.165081,1,post5,Start,readnews
1760468884242,5.218583,1,post5,Start,question
1760468885026,6.002714,1,post5,Is_Fake,not_fake
1760468885891,6.867192,1,post5,Level_Of_Confident,4
1760468886244,7.220107,1,post5,Level_Of_Confident,go_to_have_seen
1760468886814,7.790173,1,post5,Have_seen,no
1760510904410,4.232028,1,post12,Start,readnews
1760510905139,4.988008,1,post12,Start,question
1760510905828,5.67634,1,post12,Is_Fake,fake
1760510906912,6.760851,1,post12,Level_Of_Confident,4
1760510907246,7.094322,1,post12,Level_Of_Confident,go_to_have_seen
1760510907757,7.60534,1,post12,Have_seen,no
1760510909819,9.646097,2,post15,Start,readnews
1760510910551,10.39962,2,post15,Start,question
1760510911220,11.06842,2,post15,Is_Fake,not_fake
1760510911861,11.7105,2,post15,Level_Of_Confident,4
1760510912167,12.01583,2,post15,Level_Of_Confident,go_to_have_seen
1760510912655,12.50357,2,post15,Have_seen,no
1760510914332,14.15939,3,post14,Start,readnews
1760510915195,15.04363,3,post14,Start,question
1760510915849,15.69778,3,post14,Is_Fake,fake
1760510916358,16.20761,3,post14,Level_Of_Confident,4
1760510916752,16.60081,3,post14,Level_Of_Confident,go_to_have_seen
1760510917606,17.45494,3,post14,Have_seen,no
1760510920055,19.8824,4,post5,Start,readnews
1760510920786,20.63534,4,post5,Start,question
1760510921816,21.6649,4,post5,Is_Fake,not_fake
1760510922602,22.45019,4,post5,Level_Of_Confident,4
1760510922955,22.80384,4,post5,Level_Of_Confident,go_to_have_seen
1760510923587,23.43516,4,post5,Have_seen,yes
1760510925157,24.98376,5,post8,Start,readnews
1760510925716,25.56482,5,post8,Start,question
1760510926530,26.37908,5,post8,Is_Fake,not_fake
1760510927304,27.15351,5,post8,Level_Of_Confident,4
1760510927591,27.43971,5,post8,Level_Of_Confident,go_to_have_seen
1760510928070,27.91883,5,post8,Have_seen,yes
