Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1750102078310,50.37685,choice-chat-04-story1-14,4.346882,ซื้อ,False
1750102133177,95.86388,choice-chat-04-story1-15-2,13.73048,เปิดแชททั้งหมด,False
1750102134138,109.5944,choice-chat-01,0.9623184,เปิดแชทchat-01,False
1750102149022,123.7138,choice-chat-01-story1-17,1.726608,เปิดแชททั้งหมด,False
1750102150044,125.4404,choice-chat-05,1.021736,เปิดแชทchat-05,False
1750102250456,219.7244,choice-chat-05-story1-18,7.148056,ไม่โอน,False
1750102337037,252.9048,choice-chat-05-story1-19-2,60.55057,เปิดแชททั้งหมด,False
1750102338160,313.4554,choice-chat-01,1.12265,เปิดแชทchat-01,False
1750102512440,471.0895,choice-chat-01-story1-21,17.76831,เปิดแชททั้งหมด,False
1750102513936,488.8578,choice-chat-02,1.49585,เปิดแชทchat-02,False
