Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1749040587786,53.02822,choice-chat-01-story1-1,1.185867,ขนมจีบ,False
1749040984320,47.48682,choice-chat-01-story1-1,3.693565,ขนมจีบ,False
1749041294532,49.08496,choice-chat-01-story1-1,10.03883,ขนมจีบ,False
1749632077290,40.17924,choice-bank1-1,1.358498,เปิดธนาคาร,False
1749636976609,103.2978,choice-bank1-1,5.235474,เปิดธนาคาร,False
1749637003791,111.5343,choice-bank1-1,24.18051,กดโอนเงิน,False
1750795201962,46.81231,choice-chat-01-story1-1,1.809956,ขนมจีบ,False
1750795268045,99.48862,choice-chat-01-story1-3,15.21841,เปิดแชททั้งหมด,False
1750795269253,114.707,choice-chat-02,1.208282,เปิดแชทchat-02,False
1750854088236,49.05043,choice-chat-04-story1-14,285.8199,เช็กเลขอย.,False
