Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1753279219794,186.3843,choice-page2-1,99.99913,กลับแชท,False
1755090594254,144.0437,choice-chat-01-story2-1,214.0932,เปิดแชททั้งหมด,False
1755090596095,358.1369,choice-chat-06,1.841705,เปิดแชทchat-06,False
1756904787152,33.71091,choice-page2-4,3.163605,ฟังเสียงต่อไป,False
1756904821691,33.71091,choice-page2-4,37.70433,ฟังเสียงต่อไป,False
1756904826141,33.71091,choice-page2-4,42.15496,ฟังเสียงต่อไป,False
1756904853392,33.71091,choice-page2-4,69.4053,ฟังเสียงต่อไป,False
1756904866134,33.71091,choice-page2-4,82.1474,ฟังเสียงต่อไป,False
1756904876050,33.71091,choice-page2-4,91.97866,กลับแชท,False
1761728749406,137.4061,choice-chat-01-story2-1,34.02328,เปิดแชททั้งหมด,False
1761728750241,171.4294,choice-chat-06,0.8356781,เปิดแชทchat-06,False
1761729069311,490.0853,choice-page2-1,1.139404,กลับแชท,False
1761729194563,564.8441,choice-chat-02-story2-3,47.59308,สมัคร,False
1761729275429,675.3488,choice-chat-02-story2-5,17.95526,เปิดแชททั้งหมด,False
1761729276489,693.3041,choice-chat-03,1.060303,เปิดแชทchat-03,False
1761729377507,729.7815,choice-chat-03-story2-5-1,65.60046,10000 บาท,False
1761729474170,818.614,choice-chat-03-story2-5-3,73.4314,เปิดแชททั้งหมด,False
1761729475002,892.0453,choice-chat-04,0.8319702,เปิดแชทchat-04,False
1761729515624,897.942,choice-chat-04-story2-7,35.55713,ไม่ทำแบบสอบถาม,False
1761729517264,933.4991,choice-chat-04-story2-7,1.640198,เปิดแชททั้งหมด,False
1761729517999,935.1393,choice-chat-06,0.7346191,เปิดแชทchat-06,False
1761729593477,993.8358,choice-chat-06-story2-8,17.51624,กรอกข้อมูล,False
1761729605782,1011.481,choice-page2-5,12.12146,กลับแชท,False
1761729607169,1023.816,choice-chat-06-story2-9-2,1.226074,เปิดแชททั้งหมด,False
1761729608125,1025.042,choice-chat-04,0.9562988,เปิดแชทchat-04,False
1761729622566,1038.972,choice-page2-4,1.46875,ฟังเสียงต่อไป,False
1761729722782,1038.972,choice-page2-4,101.6852,ฟังเสียงต่อไป,False
1761729733592,1038.972,choice-page2-4,112.4956,ฟังเสียงต่อไป,False
1761729764671,1038.972,choice-page2-4,143.5739,ฟังเสียงต่อไป,False
1761729786617,1038.972,choice-page2-4,165.52,ฟังเสียงต่อไป,False
1761729796537,1038.972,choice-page2-4,175.3521,กลับแชท,False
1761729910968,1292.289,choice-chat-05-story2-14,36.55469,กดโหลดแอป,False
1761729919306,1328.868,choice-page2-3,8.311157,สมัครแอปกรมที่ดิน,False
