Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1756900481026,73.74445,choice-page2-4,1.65004,ฟังเสียงต่อไป,False
1756900515075,73.74445,choice-page2-4,35.70161,ฟังเสียงต่อไป,False
1756900519535,73.74445,choice-page2-4,40.16097,ฟังเสียงต่อไป,False
1756900526825,73.74445,choice-page2-4,47.45145,ฟังเสียงต่อไป,False
1756900539162,73.74445,choice-page2-4,59.78887,ฟังเสียงต่อไป,False
1756900549072,73.74445,choice-page2-4,69.61819,กลับแชท,False
1758913014328,8.555196,choice-chat-04-story2-7,1.672875,ทำแบบสอบถาม,False
1758913026788,10.24749,choice-page2-2,12.24721,กลับแชท,False
1758913178385,79.96478,choice-chat-06-story2-8,94.32115,กรอกข้อมูล,False
1758913194580,174.3065,choice-page2-5,16.14153,กลับแชท,False
1758913196134,190.557,choice-chat-06-story2-9-1,1.478378,เปิดแชททั้งหมด,False
1758913197110,192.0354,choice-chat-04,0.9757996,เปิดแชทchat-04,False
