Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1754485931283,121.7063,choice-chat-01-story2-1,4.447556,เปิดแชททั้งหมด,False
1754486310049,132.6716,choice-chat-01-story2-1,40.6088,เปิดแชททั้งหมด,False
1754486342536,173.2804,choice-chat-06,23.91208,เปิดแชทchat-06,False
1754486640797,471.6355,choice-page2-1,1.844666,กลับแชท,False
1754486746696,547.1633,choice-chat-02-story2-3,32.42529,สมัคร,False
1754486757242,579.5886,choice-chat-02-story2-3,10.54785,เปิดแชททั้งหมด,False
1754486773258,590.1365,choice-chat-03,16.01605,เปิดแชทchat-03,False
1754486960762,706.0984,choice-chat-03-story2-5-1,75.5119,10000 บาท,False
1754487054766,810.5338,choice-chat-03-story2-5-2,65.08118,เปิดแชททั้งหมด,False
1754487063325,875.6149,choice-chat-04,8.557678,เปิดแชทchat-04,False
1754487108285,905.2737,choice-page2-2,23.82074,กลับแชท,False
1754487190599,987.2201,choice-chat-06-story2-8,24.21063,กรอกข้อมูล,False
1754487203748,1011.532,choice-page2-5,12.98083,กลับแชท,False
1754487211263,1029.911,choice-chat-06-story2-9-1,2.186401,เปิดแชททั้งหมด,False
1754487212632,1032.097,choice-chat-04,1.367798,เปิดแชทchat-04,False
1754487370242,28.48274,choice-page2-4,3.205063,ฟังเสียงต่อไป,False
1754487406203,28.48274,choice-page2-4,39.167,ฟังเสียงต่อไป,False
1754487413401,28.48274,choice-page2-4,46.36577,ฟังเสียงต่อไป,False
1754487440300,28.48274,choice-page2-4,73.26426,ฟังเสียงต่อไป,False
1754487453569,28.48274,choice-page2-4,86.53378,ฟังเสียงต่อไป,False
1754487463562,28.48274,choice-page2-4,96.36292,กลับแชท,False
1754487546308,197.768,choice-chat-05-story2-14,9.985046,กดโหลดแอป,False
1754487618128,207.8206,choice-page2-3,71.61536,กลับแชท,False
