Date,TimeFromStartQuestTion,ID,AnsTime,Ans,IsSignificant
1756301015827,41.53409,choice-chat-04-story3-25,27.46814,กดลิ้งก์,False
1756301291469,20.88286,choice-chat-01-story3-6,16.4285,เปิดแชททั้งหมด,False
1756301298811,37.31136,choice-chat-02,7.341869,เปิดแชทchat-02,False
1756301502712,20.17194,choice-chat-01-story3-6,5.22451,เปิดแชททั้งหมด,False
1756301504790,25.39645,choice-chat-02,2.078869,เปิดแชทchat-02,False
1756301981729,39.15871,choice-page3-2,465.2417,ไปเพจbank3-2,False
1756301981730,504.4004,choice-bank3-2,0,เปิดธนาคาร,False
1756301986962,507.4049,choice-bank3-2,2.234863,กดโอนเงิน,False
1756301989566,507.4049,choice-bank3-2,4.785187,กดโอนเงิน,False
1756301993788,507.4049,choice-bank3-2,9.061371,กดโอนเงิน,False
1756301995984,507.4049,choice-bank3-2,11.25394,โอนเงิน,True
1756302287140,105.3447,choice-chat-02-story3-9,35.05348,เปิดแชททั้งหมด,False
1756302293092,140.3981,choice-chat-01,5.952423,เปิดแชทchat-01,False
